2026-06-03 00:35:28 | Shanghai | 26.69 mm/h | RED
2026-06-03 00:48:00 | Wuhan | 20.27 mm/h | RED
2026-06-03 00:48:01 | Shenzhen | 20.25 mm/h | RED
2026-06-03 00:48:02 | Wuhan | 21.59 mm/h | RED
2026-06-03 00:48:04 | Beijing | 21.73 mm/h | RED
2026-06-03 00:48:04 | Shanghai | 26.42 mm/h | RED
2026-06-03 00:48:05 | Beijing | 30.18 mm/h | RED
2026-06-03 00:48:10 | Guangzhou | 20.30 mm/h | RED
2026-06-03 00:48:12 | Shanghai | 22.31 mm/h | RED
2026-06-03 00:48:19 | Shanghai | 20.73 mm/h | RED
2026-06-03 00:48:22 | Wuhan | 30.67 mm/h | RED
2026-06-03 00:48:22 | Guangzhou | 39.46 mm/h | RED
2026-06-03 00:48:23 | Shanghai | 43.27 mm/h | RED
2026-06-03 00:48:25 | Shanghai | 26.75 mm/h | RED
2026-06-03 00:48:28 | Shanghai | 22.31 mm/h | RED
2026-06-03 00:48:28 | Guangzhou | 25.07 mm/h | RED
